restaurant,horizon_minutes,date,avg_actual,avg_prediction,peak_actual,peak_prediction,daily_mae,slot_count
전체,5,2026-03-01,14.671,14.654,51.000,51.000,0.620,840
전체,5,2026-03-02,17.174,17.107,70.000,70.000,0.819,847
전체,5,2026-03-03,88.190,88.127,547.000,547.000,7.032,814
전체,5,2026-03-04,98.386,98.171,653.000,653.000,6.045,715
전체,5,2026-03-05,88.173,87.957,621.000,621.000,5.189,705
전체,5,2026-03-06,51.970,51.987,374.000,374.000,3.603,695
전체,5,2026-03-07,20.842,20.796,64.000,64.000,0.892,695
전체,5,2026-03-08,20.573,20.519,65.000,65.000,0.863,715
전체,5,2026-03-09,107.679,107.596,866.000,866.000,6.952,705
전체,5,2026-03-10,107.796,107.435,885.000,885.000,7.016,705
전체,5,2026-03-11,106.106,105.803,714.000,714.000,6.599,705
전체,5,2026-03-12,103.694,103.424,678.000,678.000,6.457,715
전체,5,2026-03-13,63.085,63.013,429.000,429.000,4.501,715
전체,5,2026-03-14,24.155,24.127,63.000,63.000,1.043,715
전체,5,2026-03-15,23.010,22.949,76.000,76.000,0.926,685
전체,5,2026-03-16,103.896,103.434,783.000,783.000,7.234,705
전체,5,2026-03-17,102.272,102.186,772.000,772.000,6.777,695
전체,5,2026-03-18,110.237,109.817,753.000,753.000,6.752,705
전체,5,2026-03-19,103.969,103.695,647.000,647.000,6.442,715
전체,5,2026-03-20,62.441,62.334,339.000,339.000,3.796,715
전체,5,2026-03-21,23.803,23.750,75.000,75.000,1.088,715
전체,5,2026-03-22,27.742,27.637,101.000,101.000,1.146,705
전체,5,2026-03-23,103.699,103.232,729.000,729.000,6.666,715
전체,5,2026-03-24,108.897,108.503,742.000,742.000,7.137,715
전체,5,2026-03-25,114.814,114.524,846.000,846.000,7.305,715
전체,5,2026-03-26,103.226,102.661,590.000,590.000,6.296,713
전체,5,2026-03-27,65.990,65.891,367.000,367.000,4.082,705
전체,30,2026-03-01,14.743,15.572,51.000,54.600,2.327,813
전체,30,2026-03-02,17.375,22.878,70.000,191.600,10.701,818
